title,genres,Awful,Bad,Average,Good,Excellent
Lights Out (2016),Horror,0,0,2,0,0
"Like Father, Like Son (1987)",Comedy,0,3,0,0,0
Like Stars on Earth (Taare Zameen Par) (2007),Drama,0,0,0,1,1
Lilies of the Field (1963),Drama,0,0,0,3,0
Lilting (2014),Drama,0,0,0,0,1
Limbo (1999),Drama,0,0,0,3,0
"Line King: The Al Hirschfeld Story, The (1996)",Documentary,0,0,0,1,0
Lion (2016),Drama,0,0,0,0,1
"Lion in Winter, The (1968)",Drama,0,0,2,5,2
Lionheart (1990),Action,1,0,0,0,0
Liquid Truth (2017),Drama,0,1,0,0,0
Little Ashes (2008),Drama,0,0,1,0,0
Little Big Man (1970),Western,1,1,1,9,12
Little Buddha (1993),Drama,0,1,1,2,0
Little Darlings (1980),Drama,0,1,0,0,0
Little Dieter Needs to Fly (1997),Documentary,0,0,0,0,1
Little Fockers (2010),Comedy,3,1,1,1,0
"Little Foxes, The (1941)",Drama,0,0,0,2,0
Little Lord Fauntleroy (1936),Drama,0,0,0,1,0
Little Man (2006),Comedy,1,0,0,0,0
Little Man Tate (1991),Drama,0,1,5,3,1
Little Monsters (1989),Comedy,0,1,1,0,0
Little Nicky (2000),Comedy,3,4,12,5,0
Little Nikita (1988),Drama,0,0,1,0,0
Little Voice (1998),Comedy,0,0,2,3,2
Little Women (1949),Drama,0,0,0,2,0
Little Women (1994),Drama,0,1,10,21,10
Live Nude Girls (1995),Comedy,0,0,0,0,1
Live Wire (1992),Action,0,0,0,1,0
Living in Oblivion (1995),Comedy,0,0,0,8,5
Local Hero (1983),Comedy,0,0,2,4,3
Locke (2013),Drama,0,0,1,1,1
Logan Lucky (2017),Comedy,0,0,0,0,1
Lola Montès (1955),Drama,0,0,0,1,0
London (2005),Drama,0,0,1,0,0
London Town (2016),Drama,0,0,1,0,0
"Lonely Guy, The (1984)",Comedy,0,0,0,1,0
Long Day's Journey Into Night (1962),Drama,0,0,0,1,0
Long Night's Journey Into Day (2000),Documentary,0,0,0,1,0
"Long Walk Home, The (1990)",Drama,0,0,0,1,0
"Long, Hot Summer, The (1958)",Drama,0,0,0,1,0
"Longest Yard, The (1974)",Comedy,0,1,1,3,0
Looking for Comedy in the Muslim World (2005),Comedy,0,0,0,1,0
Lord of Illusions (1995),Horror,2,0,4,2,0
Lorenzo's Oil (1992),Drama,0,0,1,2,0
Los Angeles Plays Itself (2003),Documentary,0,0,0,1,0
Loser (1991),Comedy,1,0,0,1,0
Losin' It (1983),Comedy,1,0,0,0,0
Losing Isaiah (1995),Drama,0,1,1,1,1
Lost Horizon (1937),Drama,0,0,0,3,0
"Lost Weekend, The (1945)",Drama,0,0,0,3,0
Lost and Delirious (2001),Drama,0,0,2,1,1
Lost in America (1985),Comedy,1,0,0,1,0
Lost in La Mancha (2002),Documentary,0,0,4,2,0
Louis C.K.: Chewed Up (2008),Comedy,2,0,1,1,3
Louis C.K.: Hilarious (2010),Comedy,1,0,0,3,5
Louis C.K.: Live at The Comedy Store (2015),Comedy,0,0,1,0,3
Louis C.K.: Live at the Beacon Theater (2011),Comedy,1,0,0,2,7
Louis C.K.: Oh My God (2013),Comedy,0,0,1,1,2
Louis C.K.: Shameless (2007),Comedy,1,0,0,2,4
Louis Theroux: Law & Disorder (2008),Documentary,0,0,0,0,1
Love & Mercy (2014),Drama,0,0,0,2,1
Love Crazy (1941),Comedy,0,0,0,1,0
"Love Guru, The (2008)",Comedy,1,1,1,1,0
Love Is the Devil (1998),Drama,0,0,0,1,0
Love Jones (1997),Romance,0,0,0,1,0
Love Live! The School Idol Movie (2015),Animation,0,0,0,1,0
Love Liza (2002),Drama,0,0,1,2,0
Love Serenade (1996),Comedy,0,0,1,0,0
"Love Song for Bobby Long, A (2004)",Drama,0,0,1,2,0
Love and Death (1975),Comedy,0,0,2,2,5
Love and Other Catastrophes (1996),Romance,0,0,0,1,0
"Loved Ones, The (2009)",Horror,0,0,0,1,1
Loverboy (1989),Comedy,0,1,1,0,0
Luck by Chance (2009),Drama,0,0,0,0,1
"Lucky One, The (2012)",Drama,0,0,0,1,0
Lumumba (2000),Drama,0,0,1,0,0
Lust for Life (1956),Drama,0,0,1,0,0
Luther (2003),Drama,0,0,0,1,0
Lynne Koplitz: Hormonal Beast (2017),Comedy,0,1,0,0,0
"M. Hulot’s Holiday (Mr. Hulot's Holiday) (Vacances de Monsieur Hulot, Les) (1953)",Comedy,0,0,1,2,0
MacArthur (1977),Drama,0,0,0,1,0
Macbeth (2015),Drama,0,0,1,0,0
"Macbeth (a.k.a. Tragedy of Macbeth, The) (1971)",Drama,0,0,1,3,0
"Mack, The (1973)",Crime,0,0,1,0,0
Mackenna's Gold (1969),Western,0,0,1,0,0
Madame Bovary (1991),Drama,0,0,0,1,0
Madame Sousatzka (1988),Drama,0,0,0,0,1
Made (2001),Comedy,0,2,3,1,0
Made in America (1993),Comedy,0,1,10,0,0
Madhouse (1990),Comedy,0,0,0,1,0
Madly in Love (1981),Comedy,0,0,0,0,1
"Magdalene Sisters, The (2002)",Drama,0,0,0,3,3
Maggie's Plan (2015),Comedy,0,1,0,0,0
Magnolia (1999),Drama,2,4,8,26,12
Major League (1989),Comedy,0,1,6,10,3
Major League II (1994),Comedy,0,1,1,1,0
Major League: Back to the Minors (1998),Comedy,0,4,3,0,0
Major Payne (1995),Comedy,3,2,5,5,2
Make Way for Tomorrow (1937),Drama,0,0,0,1,0
Making the Grade (1984),Comedy,0,1,0,0,0
Malcolm X (1992),Drama,0,0,1,10,4
Male Hunt (1964),Comedy,0,0,1,0,0
Malice (1993),Thriller,0,3,6,3,0
"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)",Mystery,1,1,3,8,4
Mambo Italiano (2003),Comedy,0,0,1,0,0
"Man Who Came to Dinner, The (1942)",Comedy,0,0,0,1,0
"Man Who Cried, The (2000)",Drama,0,0,0,2,0
"Man Without a Face, The (1993)",Drama,1,2,8,3,3
"Man for All Seasons, A (1966)",Drama,0,0,1,2,3
"Man from Elysian Fields, The (2001)",Drama,0,0,1,0,0
Man of Aran (1934),Documentary,0,0,0,1,0
"Man of No Importance, A (1994)",Drama,0,0,0,1,0
Man of the House (1995),Comedy,1,1,2,3,0
Man of the Year (1995),Documentary,0,0,1,0,0
Man on Wire (2008),Documentary,1,0,0,4,3
Man on the Flying Trapeze (1935),Comedy,0,0,0,0,1
"Man with Two Brains, The (1983)",Comedy,0,1,5,4,0
"Man with the Golden Arm, The (1955)",Drama,0,0,0,0,1
"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",Documentary,0,1,1,0,1
Manchester by the Sea (2016),Drama,1,1,0,2,1
"Manchurian Candidate, The (2004)",Thriller,0,1,6,5,0
Mandela: Long Walk to Freedom (2013),Drama,0,0,0,2,0
Manderlay (2005),Drama,0,0,0,3,1
Manic (2001),Drama,0,0,1,0,0
Manon of the Spring (Manon des sources) (1986),Drama,0,0,0,7,1
Manufactured Landscapes (2006),Documentary,0,0,0,2,0
Maps to the Stars (2014),Drama,0,0,0,1,0
Marauders (2016),Action,0,0,0,1,0
"March of the Penguins (Marche de l'empereur, La) (2005)",Documentary,0,0,5,10,3
Margaret (2011),Drama,0,0,1,0,0
Margot at the Wedding (2007),Drama,0,0,1,0,0
Maria Bamford: The Special Special Special! (2012),Comedy,1,0,0,0,0
"Mark of Zorro, The (1940)",Adventure,0,0,0,2,0
Marley (2012),Documentary,0,0,1,0,1
Marooned in Iraq (Gomgashtei dar Aragh) (2002),Drama,0,0,1,0,0
"Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)",Drama,0,0,0,0,1
Married to the Mob (1988),Comedy,1,1,7,3,0
Marvin's Room (1996),Drama,0,1,2,2,0
Marwencol (2010),Documentary,0,0,0,1,1
Mary of Scotland (1936),Drama,0,0,1,0,0
Mask (1985),Drama,0,1,1,5,0
Masked Avengers (1981),Action,0,0,0,1,0
"Masque of the Red Death, The (1964)",Horror,0,0,1,1,0
Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),Action,0,0,0,0,1
"Master, The (2012)",Drama,0,0,2,2,2
Matewan (1987),Drama,0,0,0,4,2
Max (2002),Drama,0,1,3,1,0
Max Dugan Returns (1983),Comedy,0,2,2,0,0
"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders (2006)",Documentary,0,0,1,1,0
Maximum Overdrive (1986),Horror,2,1,0,0,0
Maya Lin: A Strong Clear Vision (1994),Documentary,0,0,1,1,0
Mayor of the Sunset Strip (2003),Documentary,0,0,0,1,0
Maz Jobrani: Immigrant (2017),Comedy,0,0,0,0,1
"McFarland, USA (2015)",Drama,0,0,0,1,0
Me Him Her (2015),Comedy,0,1,0,0,0
Me and Earl and the Dying Girl (2015),Drama,0,0,2,3,1
Me and you (io e te) (2012),Drama,0,0,0,0,1
Mean Girls (2004),Comedy,0,0,9,19,11
Meatballs (1979),Comedy,1,2,2,2,2
Meatballs 4 (1992),Comedy,1,0,0,0,0
Meatballs III (1987),Comedy,0,1,1,0,0
Meatballs Part II (1984),Comedy,3,1,0,2,0
Meet Joe Black (1998),Romance,4,1,3,10,2
Meet Me in St. Louis (1944),Musical,0,0,1,6,3
Meet Wally Sparks (1997),Comedy,1,0,2,0,0
Meet the Applegates (1991),Comedy,0,1,0,0,0
Meet the Fockers (2004),Comedy,2,4,10,15,2
Meet the Parents (2000),Comedy,2,10,25,40,14
Meet the Spartans (2008),Comedy,1,0,0,2,0
Melvin and Howard (1980),Drama,0,0,0,3,0
Men of Honor (2000),Drama,0,2,5,6,1
"Merchant of Venice, The (2004)",Drama,0,0,1,2,1
Merry Madagascar (2009),Animation,0,0,1,0,0
Meshes of the Afternoon (1943),Fantasy,0,0,1,0,0
Message in a Bottle (1999),Romance,0,2,2,2,0
Metal: A Headbanger's Journey (2005),Documentary,0,0,0,1,1
Metallica: Some Kind of Monster (2004),Documentary,0,0,1,2,0
Meteor (1979),Sci-Fi,1,1,1,0,0
"Meteor Man, The (1993)",Comedy,0,0,1,0,0
Metropolitan (1990),Comedy,0,2,0,5,1
Miami Rhapsody (1995),Comedy,1,1,0,0,0
Michael Collins (1996),Drama,0,2,3,6,0
Michael Jackson's Thriller (1983),Horror,0,0,0,1,0
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,0,0,0,3,1
Microwave Massacre (1983),Horror,1,0,0,0,0
Midnight Cowboy (1969),Drama,0,2,4,8,8
Midnight Express (1978),Drama,0,1,0,5,2
"Mighty, The (1998)",Drama,0,0,1,2,0
Mike & Dave Need Wedding Dates (2016),Comedy,0,1,0,1,1
Mike Bassett: England Manager (2001),Comedy,0,0,0,1,0
Mildred Pierce (2011),Drama,0,0,0,0,1
Milk (2008),Drama,0,1,2,7,1
Milk and Honey (2003),Drama,0,0,0,1,0
Million Dollar Baby (2004),Drama,1,1,7,29,14
Mimino (1977),Comedy,0,0,0,1,0
Mina Tannenbaum (1994),Drama,1,0,0,0,0
Minnie and Moskowitz (1971),Action,0,1,0,0,1
Miracle (2004),Drama,0,1,4,4,1
"Miracle Worker, The (1962)",Drama,0,0,0,3,0
Miracle on 34th Street (1994),Drama,3,4,17,7,7
"Mirror, The (Zerkalo) (1975)",Drama,0,0,0,2,1
"Misfortunates, The (De helaasheid der dingen) (2009)",Drama,0,0,1,0,0
Miss March (2009),Comedy,1,0,0,1,1
Miss Meadows (2014),Drama,0,0,1,0,0
Miss Peregrine's Home for Peculiar Children (2016),Fantasy,0,1,0,2,0
Miss Potter (2006),Drama,0,0,0,2,0
Miss Representation (2011),Documentary,0,0,0,1,0
Miss Sloane (2016),Thriller,0,0,0,1,1
Mission to Mars (2000),Sci-Fi,2,4,9,6,0
"Mission, The (1986)",Drama,0,1,3,4,1
Mistress America (2015),Comedy,0,0,0,1,0
Mixed Nuts (1994),Comedy,1,4,1,0,0
Moby Dick (1956),Drama,0,0,0,1,1
Mojave (2015),Thriller,0,1,0,0,0
Moll Flanders (1996),Drama,1,0,2,0,1
Molly's Game (2017),Drama,0,0,0,1,0
Mom's Night Out (2014),Comedy,0,1,0,0,0
Mommie Dearest (1981),Drama,0,0,3,1,0
Mommy (2014),Drama,0,0,0,1,0
Mon Oncle (My Uncle) (1958),Comedy,0,0,0,3,0
Mon oncle d'Amérique (1980),Drama,0,0,1,1,0
"Mondays in the Sun (Lunes al sol, Los) (2002)",Drama,0,0,0,1,0
Mondo Cane (1962),Documentary,0,1,0,0,0
"Money Pit, The (1986)",Comedy,2,3,11,3,2
Moneyball (2011),Drama,1,0,3,14,8
Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003),Drama,0,0,0,3,0
"Monster, The (Mostro, Il) (1994)",Comedy,0,0,2,2,0
Monty Python Live at the Hollywood Bowl (1982),Comedy,0,0,0,7,2
Monty Python's And Now for Something Completely Different (1971),Comedy,0,1,3,14,10
Monty Python's Life of Brian (1979),Comedy,4,6,7,33,39
Monty Python's The Meaning of Life (1983),Comedy,0,1,6,19,14
Moon Over Parador (1988),Comedy,0,0,1,0,0
Moonlight,Drama,0,0,0,0,1
Moonwalker (1988),Musical,0,0,1,0,0
Moonwalkers (2015),Comedy,0,0,1,0,0
More American Graffiti (1979),Comedy,0,0,1,0,0
Mortuary (1983),Horror,0,1,0,0,0
Morvern Callar (2002),Drama,0,0,3,0,1
"Most Hated Family in America, The (2007)",Documentary,0,0,0,1,1
Mother (1996),Comedy,0,3,2,3,0
Mother Night (1996),Drama,0,0,2,0,1
Motherhood (2009),Comedy,1,0,0,0,0
Mouchette (1967),Drama,0,0,1,0,0
Mountains of the Moon (1990),Adventure,0,0,1,0,0
Movie 43 (2013),Comedy,0,1,0,1,1
Mr. Bean's Holiday (2007),Comedy,0,1,2,1,0
Mr. Blandings Builds His Dream House (1948),Comedy,0,0,1,0,0
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",Documentary,0,0,1,2,2
Mr. Holland's Opus (1995),Drama,3,4,25,24,24
Mr. Magoo (1997),Comedy,2,1,1,0,0
Mr. Popper's Penguins (2011),Comedy,0,3,1,0,1
Mr. Smith Goes to Washington (1939),Drama,0,1,2,6,9
Mr. Woodcock (2007),Comedy,1,0,1,0,1
Mr. Wrong (1996),Comedy,3,0,0,1,1
Mrs. Parker and the Vicious Circle (1994),Drama,0,0,0,2,0
Mudbound (2017),Drama,0,0,1,0,0
"Mudge Boy, The (2003)",Drama,0,0,1,0,0
Multiplicity (1996),Comedy,4,6,15,9,1
"Mummy, The (1959)",Horror,0,0,2,1,0
Munna bhai M.B.B.S. (2003),Comedy,0,0,1,0,0
Murder on a Sunday Morning (Un coupable idéal) (2001),Documentary,0,0,0,1,0
Murderball (2005),Documentary,0,0,0,3,0
Muriel's Wedding (1994),Comedy,2,3,11,14,3
"Muse, The (1999)",Comedy,1,0,3,3,0
Music Box (1989),Drama,0,0,0,1,0
Music of the Heart (1999),Drama,0,1,1,2,0
My Afternoons with Margueritte (La tête en friche) (2010),Comedy,0,0,1,0,0
My Architect: A Son's Journey (2003),Documentary,0,0,0,1,1
My Best Fiend (Mein liebster Feind) (1999),Documentary,0,0,0,1,0
My Big Fat Greek Wedding 2 (2016),Comedy,0,1,0,0,0
My Blue Heaven (1990),Comedy,0,3,5,1,2
My Bodyguard (1980),Drama,0,0,3,2,2
My Boyfriend's Back (1993),Comedy,1,1,0,0,0
My Cousin Vinny (1992),Comedy,4,4,25,19,7
My Crazy Life (Mi vida loca) (1993),Drama,0,0,2,0,0
My Dinner with André (1981),Drama,0,0,0,0,2
My Family (1995),Drama,0,0,2,0,0
My Father and My Son (Babam ve oglum) (2005),Drama,0,0,0,0,1
My Favorite Year (1982),Comedy,0,1,4,3,1
My Fellow Americans (1996),Comedy,1,3,3,2,0
My Flesh and Blood (2003),Documentary,0,0,0,1,0
My Giant (1998),Comedy,0,0,1,0,0
My Kid Could Paint That (2007),Documentary,0,0,0,0,1
My Left Foot (1989),Drama,0,0,2,6,2
My Life (1993),Drama,0,0,2,0,1
My Life in Ruins (2009),Comedy,0,1,0,0,0
My Man Godfrey (1957),Comedy,0,0,0,0,1
My Scientology Movie (2016),Documentary,0,0,0,1,0
My Sister's Keeper (2009),Drama,0,0,0,1,0
My Tutor (1983),Drama,0,1,0,0,0
My Voyage to Italy (Il mio viaggio in Italia) (1999),Documentary,0,0,1,0,0
Mystery Date (1991),Comedy,0,0,1,0,0
Nacho Libre (2006),Comedy,2,4,4,4,0
Nadine (1987),Comedy,0,0,3,0,0
Nadja (1994),Drama,0,0,1,1,0
Naked (1993),Drama,0,1,1,2,2
"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Comedy,0,3,9,10,4
Napoleon Dynamite (2004),Comedy,2,4,11,13,7
Naqoyqatsi (2002),Documentary,0,0,1,0,0
Nasu: Summer in Andalusia (2003),Animation,0,0,0,0,1
National Lampoon's Bag Boy (2007),Comedy,0,0,0,0,1
National Lampoon's Lady Killers (National Lampoon's Gold Diggers) (2003),Comedy,1,0,0,0,0
National Lampoon's Senior Trip (1995),Comedy,0,5,1,0,1
National Lampoon's Vacation (1983),Comedy,0,2,6,13,5
National Lampoon's Van Wilder (2002),Comedy,0,6,10,4,2
Native Son (1986),Drama,0,0,1,0,0
"Nativity Story, The (2006)",Drama,0,0,0,2,0
"Natural, The (1984)",Drama,0,1,7,13,3
Nature Calls (2012),Comedy,0,1,0,0,0
"Navigator, The (1924)",Comedy,0,0,0,1,0
Neal Brennan: 3 Mics (2017),Comedy,0,0,0,0,1
Necessary Roughness (1991),Comedy,0,1,3,0,0
Ned Kelly (2003),Drama,0,0,1,0,0
Neds (2010),Drama,0,0,0,1,0
Neighbors (1981),Comedy,0,0,1,0,0
Neighbors (2014),Comedy,0,1,4,7,0
Neighbors 2: Sorority Rising (2016),Comedy,1,1,2,0,1
Nell (1994),Drama,1,5,16,14,4
Nelly & Monsieur Arnaud (1995),Drama,0,0,1,1,0
Neon Bull (2015),Adventure,0,0,0,1,0
Nevada Smith (1966),Western,0,0,0,1,0
Never Back Down (2008),Action,0,0,0,1,0
"New Guy, The (2002)",Comedy,1,2,4,2,0
New Waterford Girl (1999),Comedy,0,0,0,1,0
Next Friday (2000),Comedy,0,2,0,4,0
Nico Icon (1995),Documentary,0,0,0,1,0
Night Flier (1997),Horror,0,0,0,1,0
Night Shift (1982),Comedy,0,3,4,2,1
"Night at the Roxbury, A (1998)",Comedy,3,4,1,2,0
Night of the Living Dead (1990),Horror,0,0,0,1,0
"Night, The (Notte, La) (1960)",Drama,0,0,0,1,0
"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",Horror,2,3,4,1,0
"Nightmare on Elm Street 5: The Dream Child, A (1989)",Horror,3,1,1,2,0
"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Drama,0,0,0,5,2
Nina's Heavenly Delights (2006),Comedy,0,0,0,1,0
Nixon (1995),Drama,0,0,6,9,3
No Direction Home: Bob Dylan (2005),Documentary,0,0,0,1,3
No End in Sight (2007),Documentary,0,0,0,1,0
No Holds Barred (1989),Action,1,0,0,0,0
No Way Jose (2015),Comedy,0,1,0,0,0
Nobody Knows (Dare mo shiranai) (2004),Drama,0,0,0,1,1
"Nobody Speak: Hulk Hogan, Gawker and Trials of a Free Press (2017)",Documentary,0,0,0,1,0
Noises Off... (1992),Comedy,0,0,0,2,0
"Norm Macdonald: Hitler's Dog, Gossip & Trickery (2017)",Comedy,0,0,1,0,0
Norma Rae (1979),Drama,0,0,1,1,0
North (1994),Comedy,2,2,2,1,0
North Country (2005),Drama,0,0,1,3,0
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror,0,1,5,9,1
Nosferatu the Vampyre (Nosferatu: Phantom der Nacht) (1979),Horror,0,0,0,1,0
Not Another Teen Movie (2001),Comedy,3,1,5,5,0
Not One Less (Yi ge dou bu neng shao) (1999),Drama,0,0,0,0,1
Not Without My Daughter (1991),Drama,1,1,1,0,0
Notes on a Scandal (2006),Drama,0,0,1,3,0
Nothing in Common (1986),Comedy,0,3,1,2,0
Nothing to Declare (Rien à déclarer) (2010),Comedy,0,0,0,1,0
"Notorious Bettie Page, The (2005)",Drama,0,0,2,0,0
Notorious C.H.O. (2002),Comedy,0,0,0,1,0
Nowhere in Africa (Nirgendwo in Afrika) (2001),Drama,0,0,0,2,0
Nowitzki: The Perfect Shot (2014),Documentary,0,0,0,1,0
Nutty Professor II: The Klumps (2000),Comedy,2,8,4,1,1
Nymphomaniac: Volume I (2013),Drama,0,0,0,1,1
O (2001),Drama,0,0,1,3,0
O.J.: Made in America (2016),Documentary,0,0,0,0,1
"OH in Ohio, The (2006)",Comedy,0,0,1,0,0
OT: Our Town (2002),Documentary,0,0,0,1,0
"Objective, Burma! (1945)",War,0,0,1,0,0
Oblivion 2: Backlash (1996),Sci-Fi,1,0,0,0,0
Obsession (1965),Comedy,0,0,0,0,1
Ocho apellidos vascos (2014),Comedy,0,0,0,0,1
"Octagon, The (1980)",Action,0,0,1,0,0
October Sky (1999),Drama,0,1,6,16,7
Oculus (2013),Horror,0,0,0,0,1
"Odd Couple II, The (1998)",Comedy,1,1,2,0,0
"Odd Couple, The (1968)",Comedy,0,0,1,11,3
"Odessa File, The (1974)",Thriller,0,0,1,2,1
Of Human Bondage (1934),Drama,0,0,0,1,0
Of Mice and Men (1939),Drama,0,0,2,4,0
Of Mice and Men (1992),Drama,0,1,4,9,3
Office Christmas Party (2016),Comedy,0,0,1,1,1
"Official Story, The (La historia oficial) (1985)",Drama,0,0,0,1,0
"Ogre, The (Unhold, Der) (1996)",Drama,0,0,0,1,0
"Oh, God! Book II (1980)",Comedy,0,1,0,0,0
"Oh, God! You Devil (1984)",Comedy,0,0,1,0,0
"Oh, Hello: On Broadway (2017)",Comedy,0,0,0,1,0
Old Dogs (2009),Comedy,1,0,0,0,0
Old Men: Robbers (1971),Comedy,0,0,0,1,0
Old School (2003),Comedy,2,2,10,14,11
Oliver Twist (2005),Drama,0,0,0,3,0
"Omega Code, The (1999)",Action,0,1,0,0,0
Omega Doom (1996),Sci-Fi,0,1,0,0,0
On Any Sunday (1971),Documentary,0,0,0,0,1
On Golden Pond (1981),Drama,1,1,1,7,3
On a Clear Day (2005),Drama,0,1,0,0,0
On the Beach (1959),Drama,0,0,0,0,1
Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba) (1993),Action,0,1,0,1,0
Once Upon a Time in the Midlands (2002),Drama,0,0,1,0,0
One Crazy Summer (1986),Comedy,0,3,1,0,2
One Day in September (1999),Documentary,0,0,0,1,1
One Flew Over the Cuckoo's Nest (1975),Drama,1,1,15,52,64
One Night at McCool's (2001),Comedy,0,0,3,1,1
One True Thing (1998),Drama,0,0,2,0,0
One Week (1920),Comedy,0,0,0,1,0
"One, Two, Three (1961)",Comedy,0,0,0,1,1
One-Eyed Jacks (1961),Western,0,0,1,0,0
"Onion Movie, The (2008)",Comedy,0,0,0,1,0
Only the Strong (1993),Action,0,0,2,0,0
Ooops! Noah is Gone... (2015),Animation,0,0,0,0,1
Open Hearts (Elsker dig for evigt) (2002),Romance,0,0,0,0,1
Open Range (2003),Western,0,0,0,6,3
Orange County (2002),Comedy,1,2,10,2,0
Orchestra Rehearsal (Prova d'orchestra) (1978),Drama,0,0,0,1,0
"Ordet (Word, The) (1955)",Drama,0,0,0,2,0
Ordinary People (1980),Drama,0,0,3,5,4
Orgazmo (1997),Comedy,1,1,4,6,1
Osama (2003),Drama,0,0,0,1,0
Oscar (1967),Comedy,0,0,0,0,1
Otello (1986),Drama,0,0,0,1,0
Othello (1995),Drama,0,0,5,8,0
"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)",Drama,0,0,0,1,0
Our Family Wedding (2010),Comedy,0,1,0,0,0
Our Hospitality (1923),Comedy,0,0,1,1,0
Our Idiot Brother (2011),Comedy,0,0,1,1,0
Our Town (1940),Drama,0,0,1,0,0
Out Cold (2001),Comedy,0,1,2,2,0
Out of the Past (1947),Film-Noir,0,0,0,3,1
Out to Sea (1997),Comedy,0,2,1,0,0
"Out-of-Towners, The (1999)",Comedy,2,2,2,0,0
Outfoxed: Rupert Murdoch's War on Journalism (2004),Documentary,1,0,1,2,1
Outside Providence (1999),Comedy,0,1,1,1,1
"Outsiders, The (1983)",Drama,0,0,5,8,3
PCU (1994),Comedy,0,2,2,1,0
Pale Rider (1985),Western,0,0,3,3,2
"Pallbearer, The (1996)",Comedy,0,3,2,1,0
"Palm Beach Story, The (1942)",Comedy,0,0,1,1,3
Panic (2000),Drama,0,0,1,0,1
Panic Room (2002),Thriller,4,4,11,15,3
"Paper Chase, The (1973)",Drama,0,0,0,3,0
Paper Clips (2004),Documentary,0,0,1,1,0
"Paradine Case, The (1947)",Drama,0,0,1,1,0
Paradise Lost 2: Revelations (2000),Documentary,0,0,0,1,0
Paradise Lost 3: Purgatory (2011),Documentary,0,0,0,1,0
Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,0,0,1,3,2
Paranormal Activity 3 (2011),Horror,0,0,0,2,0
Parental Guidance (2012),Comedy,0,1,0,0,0
Paris Is Burning (1990),Documentary,0,0,0,2,3
"Paris, I Love You (Paris, je t'aime) (2006)",Romance,0,1,4,3,0
Particle Fever (2013),Documentary,0,0,0,0,1
Party Girl (1995),Comedy,0,0,1,1,2
"Party, The (1968)",Comedy,0,0,3,4,0
"Passenger, The (Professione: reporter) (1975)",Drama,0,0,0,0,1
Passion Fish (1992),Drama,0,1,1,2,1
"Passion of Anna, The (Passion, En) (1969)",Drama,0,0,0,1,0
"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)",Drama,0,0,1,2,2
"Passion of the Christ, The (2004)",Drama,3,0,5,4,1
Pat Garrett and Billy the Kid (1973),Western,0,0,0,2,0
Patton Oswalt: My Weakness Is Strong (2009),Comedy,0,0,0,0,1
Patton Oswalt: Tragedy Plus Comedy Equals Time (2014),Comedy,0,0,0,1,0
Pawn Sacrifice (2015),Drama,0,0,1,0,0
"Pawnbroker, The (1964)",Drama,0,0,0,1,0
Pay It Forward (2000),Drama,2,0,8,10,6
Peaceful Warrior (2006),Drama,0,0,0,0,1
"Peacekeeper, The (1997)",Action,1,0,0,0,0
Pekka ja Pätkä Suezilla (1958),Comedy,0,0,0,1,0
Pekka ja Pätkä salapoliiseina (1957),Comedy,0,0,0,1,0
Pelle the Conqueror (Pelle erobreren) (1987),Drama,0,0,0,2,0
Pelé: Birth of a Legend (2016),Drama,0,0,0,0,1
"Perfect Candidate, A (1996)",Documentary,0,0,0,1,1
"Perfect Murder, A (1998)",Thriller,0,3,5,7,1
Permanent Midnight (1998),Drama,0,0,2,0,0
Persona (1966),Drama,0,1,0,3,2
Personal Velocity (2002),Drama,0,0,1,0,0
"Pervert's Guide to Cinema, The (2006)",Documentary,0,0,0,1,0
"Pervert's Guide to Ideology, The (2012)",Documentary,0,0,0,1,0
"Pest, The (1997)",Comedy,0,1,0,0,0
Pet Sematary (1989),Horror,1,3,3,2,1
Phantasm III: Lord of the Dead (1994),Horror,0,1,0,0,0
Phantasm IV: Oblivion (1998),Horror,1,2,0,0,0
Phil Spector (2013),Drama,0,1,0,0,0
Philadelphia (1993),Drama,2,3,17,32,12
Phir Hera Pheri (2006),Comedy,0,0,0,0,1
"Piano Teacher, The (La pianiste) (2001)",Drama,0,0,0,1,0
Pickup on South Street (1953),Film-Noir,0,0,0,1,0
Picnic (1955),Drama,0,0,1,0,0
Pink Flamingos (1972),Comedy,2,1,4,3,0
Piper (2016),Animation,0,0,0,0,2
Pit and the Pendulum (1961),Horror,0,1,0,1,1
Pitch Perfect 2 (2015),Comedy,0,0,4,4,1
Places in the Heart (1984),Drama,0,0,0,3,1
